date,entity_name,location_address,location_coordinates
2016-09-14,Andrzej Duda,"Bulgaria, Sofia","[23.3221789, 42.6978634]"
2016-09-15,Andrzej Duda,"Bulgaria, Sofia","[23.3221789, 42.6978634]"
2016-09-15,Angela Merkel,"France, Paris","[2.3200410217200766, 48.8588897]"
2016-09-16,Angela Merkel,"Slovakia, Bratislava","[17.1093063, 48.1516988]"
2016-09-16,Hassan Rouhani,"Venezuela, Caracas","[-66.9146017, 10.506098]"
2016-09-16,Hassan Rouhani,"Venezuela, Porlamar","[-63.8507424, 10.9638578]"
2016-09-17,Hassan Rouhani,"Venezuela, Caracas","[-66.9146017, 10.506098]"
2016-09-17,Hassan Rouhani,"Venezuela, Porlamar","[-63.8507424, 10.9638578]"
2016-09-18,Andrzej Duda,"United States, Doylestown","[-75.1304588, 40.3100446]"
2016-09-18,Andrzej Duda,"United States, New York City","[-74.0060152, 40.7127281]"
2016-09-18,Andrzej Duda,"United States, Pennsylvania","[-77.7278831, 40.9699889]"
2016-09-18,Hassan Rouhani,"Venezuela, Caracas","[-66.9146017, 10.506098]"
2016-09-18,Hassan Rouhani,"Venezuela, Porlamar","[-63.8507424, 10.9638578]"
2016-09-19,Hassan Rouhani,"Cuba, Havana","[-82.3589631, 23.135305]"
2016-09-19,Andrzej Duda,"United States, Doylestown","[-75.1304588, 40.3100446]"
2016-09-19,Andrzej Duda,"United States, New York City","[-74.0060152, 40.7127281]"
2016-09-19,Andrzej Duda,"United States, Pennsylvania","[-77.7278831, 40.9699889]"
2016-09-19,Hassan Rouhani,"Venezuela, Caracas","[-66.9146017, 10.506098]"
2016-09-19,Hassan Rouhani,"Venezuela, Porlamar","[-63.8507424, 10.9638578]"
2016-09-20,Hassan Rouhani,"Cuba, Havana","[-82.3589631, 23.135305]"
2016-09-20,Hassan Rouhani,"United Nations, New York City","[-73.96719495826338, 40.75026105]"
2016-09-20,Andrzej Duda,"United States, Doylestown","[-75.1304588, 40.3100446]"
2016-09-20,Andrzej Duda,"United States, New York City","[-74.0060152, 40.7127281]"
2016-09-20,Andrzej Duda,"United States, Pennsylvania","[-77.7278831, 40.9699889]"
2016-09-21,Hassan Rouhani,"United Nations, New York City","[-73.96719495826338, 40.75026105]"
2016-09-21,Andrzej Duda,"United States, Doylestown","[-75.1304588, 40.3100446]"
2016-09-21,Andrzej Duda,"United States, New York City","[-74.0060152, 40.7127281]"
2016-09-21,Andrzej Duda,"United States, Pennsylvania","[-77.7278831, 40.9699889]"
2016-09-22,Hassan Rouhani,"United Nations, New York City","[-73.96719495826338, 40.75026105]"
2016-09-23,Hassan Rouhani,"United Nations, New York City","[-73.96719495826338, 40.75026105]"
2016-09-24,Angela Merkel,"Austria, Vienna","[16.3725042, 48.2083537]"
2016-10-05,Hassan Rouhani,"Vietnam, Hanoi","[105.8544441, 21.0294498]"
2016-10-06,Hassan Rouhani,"Vietnam, Hanoi","[105.8544441, 21.0294498]"
2016-10-07,Hassan Rouhani,"Malaysia, Kuala Lumpur","[101.6942371, 3.1516964]"
2016-10-07,Hassan Rouhani,"Vietnam, Hanoi","[105.8544441, 21.0294498]"
2016-10-08,Hassan Rouhani,"Malaysia, Kuala Lumpur","[101.6942371, 3.1516964]"
2016-10-08,Hassan Rouhani,"Thailand, Bangkok","[100.4934734, 13.7525438]"
2016-10-09,Angela Merkel,"Mali, Bamako","[-7.984739136241295, 12.61326555]"
2016-10-09,Hassan Rouhani,"Thailand, Bangkok","[100.4934734, 13.7525438]"
2016-10-10,Angela Merkel,"Niger, Niamey","[2.109823, 13.524834]"
2016-10-10,Hassan Rouhani,"Thailand, Bangkok","[100.4934734, 13.7525438]"
2016-10-11,Angela Merkel,"Ethiopia, Addis Ababa","[38.7612525, 9.0107934]"
2016-10-20,Angela Merkel,"Belgium, Brussels","[4.351697, 50.8465573]"
2016-10-21,Angela Merkel,"Belgium, Brussels","[4.351697, 50.8465573]"
2016-10-22,Andrzej Duda,"Hungary, Budapest","[19.0403594, 47.4979937]"
2016-10-22,Taylor Swift,"United States, Austin","[-97.7436995, 30.2711286]"
2016-11-06,Andrzej Duda,"Jordan, Amman","[35.9239625, 31.9515694]"
2016-11-07,Andrzej Duda,"Jordan, Amman","[35.9239625, 31.9515694]"
2016-11-13,Andrzej Duda,"Switzerland, Bern","[7.4514512, 46.9482713]"
2016-11-13,Andrzej Duda,"Switzerland, Rapperswil","[8.8245459, 47.2269198]"
2016-11-14,Andrzej Duda,"Switzerland, Bern","[7.4514512, 46.9482713]"
2016-11-14,Andrzej Duda,"Switzerland, Rapperswil","[8.8245459, 47.2269198]"
2016-11-15,Andrzej Duda,"Switzerland, Bern","[7.4514512, 46.9482713]"
2016-11-15,Andrzej Duda,"Switzerland, Rapperswil","[8.8245459, 47.2269198]"
2016-11-16,Andrzej Duda,"France, Strasbourg","[7.7507127, 48.584614]"
2016-11-29,Andrzej Duda,"Sweden, Stockholm","[18.0710935, 59.3251172]"
2016-11-30,Andrzej Duda,"Sweden, Stockholm","[18.0710935, 59.3251172]"
2016-12-01,Andrzej Duda,"Sweden, Stockholm","[18.0710935, 59.3251172]"
2016-12-11,Andrzej Duda,"Germany, Berlin","[13.3888599, 52.5170365]"
2016-12-15,Angela Merkel,"Belgium, Brussels","[4.351697, 50.8465573]"
2016-12-21,Hassan Rouhani,"Armenia, Yerevan","[44.5126174, 40.1776245]"
2016-12-21,Hassan Rouhani,"Kazakhstan, Astana","[71.4306682, 51.1282205]"
2016-12-22,Hassan Rouhani,"Kazakhstan, Astana","[71.4306682, 51.1282205]"
2016-12-22,Hassan Rouhani,"Kyrgyzstan, Bishkek","[74.6070079, 42.8765615]"
2016-12-23,Hassan Rouhani,"Kyrgyzstan, Bishkek","[74.6070079, 42.8765615]"
2017-01-01,Justin Bieber,"United States, Miami Beach","[-80.1353006, 25.7929198]"
2017-01-10,Paolo Gentiloni,"France, Paris","[2.3200410217200766, 48.8588897]"
2017-01-12,Angela Merkel,"Belgium, Brussels","[4.351697, 50.8465573]"
2017-01-12,Angela Merkel,"Luxembourg, Luxembourg City","[6.129799, 49.6112768]"
2017-01-13,John Kerry,"Vietnam, Ca Mau","[105.032047, 9.0875429]"
2017-01-13,John Kerry,"Vietnam, Hanoi","[105.8544441, 21.0294498]"
2017-01-13,John Kerry,"Vietnam, Ho Chi Minh City","[106.6983801, 10.7715512]"
2017-01-14,John Kerry,"Vietnam, Ca Mau","[105.032047, 9.0875429]"
2017-01-14,John Kerry,"Vietnam, Hanoi","[105.8544441, 21.0294498]"
2017-01-14,John Kerry,"Vietnam, Ho Chi Minh City","[106.6983801, 10.7715512]"
2017-01-15,John Kerry,"France, Paris","[2.3200410217200766, 48.8588897]"
2017-01-16,Andrzej Duda,"Israel, Jerusalem","[35.2257626, 31.7788242]"
2017-01-16,John Kerry,"United Kingdom, London","[-0.1276474, 51.5073219]"
2017-01-17,Andrzej Duda,"Israel, Jerusalem","[35.2257626, 31.7788242]"
2017-01-17,Andrzej Duda,"Palestine, Bethlehem","[35.18744285, 31.695528850000002]"
2017-01-17,John Kerry,"Switzerland, Davos","[9.8236892, 46.796198]"
2017-01-18,Paolo Gentiloni,"Germany, Berlin","[13.3888599, 52.5170365]"
2017-01-18,Andrzej Duda,"Israel, Jerusalem","[35.2257626, 31.7788242]"
2017-01-18,Andrzej Duda,"Palestine, Bethlehem","[35.18744285, 31.695528850000002]"
2017-01-18,John Kerry,"Switzerland, Davos","[9.8236892, 46.796198]"
2017-01-19,Andrzej Duda,"Israel, Jerusalem","[35.2257626, 31.7788242]"
2017-01-19,Andrzej Duda,"Palestine, Bethlehem","[35.18744285, 31.695528850000002]"
2017-01-19,Theresa May,"Switzerland, Davos","[9.8236892, 46.796198]"
2017-01-21,Jackie Evancho,"United States, Tyler","[-95.3010624, 32.3512601]"
2017-01-21,Donald Trump,"Virginia, Langley","[-77.1588685, 38.9464996]"
2017-01-26,Donald Trump,"Pennsylvania, Philadelphia","[-75.1635262, 39.9527237]"
2017-01-26,Theresa May,"United States, Philadelphia","[-75.1635262, 39.9527237]"
2017-01-26,Theresa May,"United States, Washington D.C.","[-77.0365427, 38.8950368]"
2017-01-27,Paolo Gentiloni,"Spain, Madrid","[-3.7035825, 40.4167047]"
2017-01-27,Theresa May,"United States, Philadelphia","[-75.1635262, 39.9527237]"
2017-01-27,Theresa May,"United States, Washington D.C.","[-77.0365427, 38.8950368]"
2017-01-28,Paolo Gentiloni,"Portugal, Lisboa","[-9.1365919, 38.7077507]"
2017-01-28,Theresa May,"Turkey, Ankara","[32.8540482, 39.9207886]"
2017-01-30,Theresa May,"Ireland, Dublin","[-6.2602732, 53.3497645]"
2017-01-31,Angela Merkel,"Sweden, Stockholm","[18.0710935, 59.3251172]"
2017-02-01,Donald Trump,"Delaware, Dover","[-75.5243682, 39.158168]"
2017-02-02,Vladimir Putin,"Hungary, Budapest","[19.0403594, 47.4979937]"
2017-02-02,Angela Merkel,"Malta, Valletta","[14.5136759, 35.8989818]"
2017-02-02,Angela Merkel,"Turkey, Ankara","[32.8540482, 39.9207886]"
2017-02-03,Donald Trump,"Florida, Mar-a-Lago","[-80.03692684200223, 26.677084]"
2017-02-03,Donald Trump,"Florida, Tampa","[-82.458444, 27.9477595]"
2017-02-03,Angela Merkel,"Malta, Valletta","[14.5136759, 35.8989818]"
2017-02-03,Theresa May,"Malta, Valletta","[14.5136759, 35.8989818]"
2017-02-04,Donald Trump,"Florida, Mar-a-Lago","[-80.03692684200223, 26.677084]"
2017-02-04,Donald Trump,"Florida, Tampa","[-82.458444, 27.9477595]"
2017-02-04,Taylor Swift,"United States, Houston","[-95.3676974, 29.7589382]"
2017-02-05,Donald Trump,"Florida, Mar-a-Lago","[-80.03692684200223, 26.677084]"
2017-02-05,Donald Trump,"Florida, Tampa","[-82.458444, 27.9477595]"
2017-02-06,Donald Trump,"Florida, Mar-a-Lago","[-80.03692684200223, 26.677084]"
2017-02-06,Donald Trump,"Florida, Tampa","[-82.458444, 27.9477595]"
2017-02-07,Angela Merkel,"Poland, Warsaw","[21.0067249, 52.2319581]"
2017-02-09,Paolo Gentiloni,"United Kingdom, London","[-0.1276474, 51.5073219]"
2017-02-10,Donald Trump,"Florida, Mar-a-Lago","[-80.03692684200223, 26.677084]"
2017-02-10,Jackie Evancho,"United States, Campbell","[-121.9448818, 37.2870626]"
2017-02-11,Donald Trump,"Florida, Mar-a-Lago","[-80.03692684200223, 26.677084]"
2017-02-11,Jackie Evancho,"United States, Palm Desert","[-116.36936983394352, 33.74079965]"
2017-02-12,Donald Trump,"Florida, Mar-a-Lago","[-80.03692684200223, 26.677084]"
2017-02-12,Jackie Evancho,"United States, Cerritos","[-118.0539323, 33.8644291]"
2017-02-12,Katy Perry,"United States, Los Angeles","[-118.242766, 34.0536909]"
2017-02-13,Justin Trudeau,"United States, Washington D.C.","[-77.0365427, 38.8950368]"
2017-02-15,Hassan Rouhani,"Kuwait, Kuwait City","[47.9735629, 29.3797091]"
2017-02-15,Hassan Rouhani,"Oman, Muscat","[58.3829448, 23.5882019]"
2017-02-15,Rex Tillerson,"Germany, Bonn","[7.10066, 50.735851]"
2017-02-15,Rex Tillerson,"Germany, Cologne","[6.959974, 50.938361]"
2017-02-16,Justin Trudeau,"France, Paris","[2.3200410217200766, 48.8588897]"
2017-02-16,Justin Trudeau,"Germany, Berlin","[13.3888599, 52.5170365]"
2017-02-16,Justin Trudeau,"Germany, Hamburg","[10.000654, 53.550341]"
2017-02-16,Hassan Rouhani,"Kuwait, Kuwait City","[47.9735629, 29.3797091]"
2017-02-16,Rex Tillerson,"Germany, Bonn","[7.10066, 50.735851]"
2017-02-16,Rex Tillerson,"Germany, Cologne","[6.959974, 50.938361]"
2017-02-17,Donald Trump,"Florida, Mar-a-Lago","[-80.03692684200223, 26.677084]"
2017-02-17,Donald Trump,"Florida, Melbourne","[-80.6371513, 28.106471]"
2017-02-17,Justin Trudeau,"Germany, Berlin","[13.3888599, 52.5170365]"
2017-02-17,Justin Trudeau,"Germany, Hamburg","[10.000654, 53.550341]"
2017-02-17,Andrzej Duda,"Germany, Munich","[11.5753822, 48.1371079]"
2017-02-17,Donald Trump,"South Carolina, North Charleston","[-80.0629981965219, 32.9131295]"
2017-02-17,The Weeknd,"Sweden, Stockholm","[18.0710935, 59.3251172]"
2017-02-17,Rex Tillerson,"Germany, Bonn","[7.10066, 50.735851]"
2017-02-17,Rex Tillerson,"Germany, Cologne","[6.959974, 50.938361]"
2017-02-18,Donald Trump,"Florida, Mar-a-Lago","[-80.03692684200223, 26.677084]"
2017-02-18,Donald Trump,"Florida, Melbourne","[-80.6371513, 28.106471]"
2017-02-18,Andrzej Duda,"Germany, Munich","[11.5753822, 48.1371079]"
2017-02-19,Donald Trump,"Florida, Mar-a-Lago","[-80.03692684200223, 26.677084]"
2017-02-19,Donald Trump,"Florida, Melbourne","[-80.6371513, 28.106471]"
2017-02-19,The Weeknd,"Norway, Oslo","[10.7389701, 59.9133301]"
2017-02-20,The Weeknd,"Denmark, Copenhagen","[12.5700724, 55.6867243]"
2017-02-20,Donald Trump,"Florida, Mar-a-Lago","[-80.03692684200223, 26.677084]"
2017-02-20,Donald Trump,"Florida, Melbourne","[-80.6371513, 28.106471]"
2017-02-20,Mauricio Macri,"Spain, Madrid","[-3.7035825, 40.4167047]"
2017-02-21,Mauricio Macri,"Spain, Madrid","[-3.7035825, 40.4167047]"
2017-02-22,Katy Perry,"England, London","[-0.1276474, 51.5073219]"
2017-02-22,Mauricio Macri,"Spain, Madrid","[-3.7035825, 40.4167047]"
2017-02-22,Rex Tillerson,"Mexico, Mexico City","[-99.1331785, 19.4326296]"
2017-02-23,Mauricio Macri,"Spain, Madrid","[-3.7035825, 40.4167047]"
2017-02-23,Rex Tillerson,"Mexico, Mexico City","[-99.1331785, 19.4326296]"
2017-02-24,Donald Trump,"Maryland, National Harbor","[-77.01414199814815, 38.78343595]"
2017-02-24,The Weeknd,"Netherlands, Amsterdam","[4.8936041, 52.3727598]"
2017-02-24,Mauricio Macri,"Spain, Madrid","[-3.7035825, 40.4167047]"
2017-02-24,Dua Lipa,"United States, Chicago","[-87.6244212, 41.8755616]"
2017-02-25,Mauricio Macri,"Spain, Madrid","[-3.7035825, 40.4167047]"
2017-02-25,Jackie Evancho,"United States, Coral Springs","[-80.2706044, 26.271192]"
2017-02-25,Dua Lipa,"United States, Detroit","[-83.0466403, 42.3315509]"
2017-02-26,The Weeknd,"Switzerland, Zürich","[8.5410422, 47.3744489]"
2017-02-26,Jackie Evancho,"United States, Fort Myers","[-81.8723084, 26.640628]"
2017-02-26,Justin Timberlake,"United States, Los Angeles","[-118.242766, 34.0536909]"
2017-02-27,Dua Lipa,"Canada, Toronto","[-79.3839347, 43.6534817]"
2017-02-27,Vladimir Putin,"Kazakhstan, Almaty","[76.9457275, 43.2363924]"
2017-02-27,Vladimir Putin,"Tajikistan, Dushanbe","[68.81521423589763, 38.5425835]"
2017-02-27,Jackie Evancho,"United States, Sarasota","[-82.5308545, 27.3365805]"
2017-02-28,The Weeknd,"France, Paris","[2.3200410217200766, 48.8588897]"
2017-02-28,Vladimir Putin,"Kyrgyzstan, Bishkek","[74.6070079, 42.8765615]"
2017-02-28,Vladimir Putin,"Tajikistan, Dushanbe","[68.81521423589763, 38.5425835]"
2017-02-28,Hassan Rouhani,"Pakistan, Islamabad","[73.0651511, 33.6938118]"
2017-03-01,Dua Lipa,"United States, New York City","[-74.0060152, 40.7127281]"
2017-03-01,Hassan Rouhani,"Pakistan, Islamabad","[73.0651511, 33.6938118]"
2017-03-02,Angela Merkel,"Egypt, Cairo","[31.2357257, 30.0443879]"
2017-03-02,The Weeknd,"Germany, Cologne","[6.959974, 50.938361]"
2017-03-02,Dua Lipa,"United States, Philadelphia","[-75.1635262, 39.9527237]"
2017-03-02,Donald Trump,"Virginia, Newport News","[-76.42977, 36.9775016]"
2017-03-03,The Weeknd,"Belgium, Antwerp","[4.3997081, 51.2211097]"
2017-03-03,Donald Trump,"Florida, Mar-a-Lago","[-80.03692684200223, 26.677084]"
2017-03-03,Donald Trump,"Florida, Pine Hills","[-81.46183230278461, 28.5825505]"
2017-03-03,Angela Merkel,"Tunisia, Tunis","[9.400138, 33.8439408]"
2017-03-04,Donald Trump,"Florida, Mar-a-Lago","[-80.03692684200223, 26.677084]"
2017-03-04,Donald Trump,"Florida, Pine Hills","[-81.46183230278461, 28.5825505]"
2017-03-04,Dua Lipa,"United States, Boston","[-71.0582912, 42.3602534]"
2017-03-05,The Weeknd,"England, Manchester","[-2.2451148, 53.4794892]"
2017-03-05,Donald Trump,"Florida, Mar-a-Lago","[-80.03692684200223, 26.677084]"
2017-03-05,Donald Trump,"Florida, Pine Hills","[-81.46183230278461, 28.5825505]"
2017-03-05,Shawn Mendes,"United States, Inglewood","[-118.353132, 33.9562003]"
2017-03-05,Katy Perry,"United States, Inglewood","[-118.353132, 33.9562003]"
2017-03-05,Jackie Evancho,"United States, Pittsburgh","[-79.9900861, 40.4416941]"
